category_url,product_url,name,price,rating,review_count,page_text_length
https://www.ikea.com/us/en/cat/bookcases-10382/,https://www.ikea.com/us/en/p/billy-oxberg-bookcase-with-doors-dark-brown-oak-effect-s29483366/,Billy Oxberg Bookcase With Doors Dark Brown Oak Effect S29483366,159.0,4.6,353,1781
https://www.ikea.com/us/en/cat/bookcases-10382/,https://www.ikea.com/us/en/p/billy-bookcase-with-glass-doors-dark-blue-20323805/,Billy Bookcase With Glass Doors Dark Blue,199.0,4.7,343,2134
https://www.ikea.com/us/en/cat/bookcases-10382/,https://www.ikea.com/us/en/p/billy-bookcase-combination-oak-effect-s59581822/,Billy Bookcase Combination Oak Effect S59581822,177.0,4.5,161,1727
https://www.ikea.com/us/en/cat/bookcases-10382/,https://www.ikea.com/us/en/p/billy-bookcase-combination-white-s19581517/,Billy Bookcase Combination White S19581517,147.0,4.5,161,1777
https://www.ikea.com/us/en/cat/bookcases-10382/,https://www.ikea.com/us/en/p/billy-bookcase-combination-dark-brown-oak-effect-s79581821/,Billy Bookcase Combination Dark Brown Oak Effect S79581821,177.0,4.5,161,1759
https://www.ikea.com/us/en/cat/bookcases-10382/,https://www.ikea.com/us/en/p/billy-bookcase-combination-brown-walnut-effect-s99581820/,Billy Bookcase Combination Brown Walnut Effect S99581820,177.0,4.5,161,1731
https://www.ikea.com/us/en/cat/bookcases-10382/,https://www.ikea.com/us/en/p/hemnes-bookcase-black-brown-light-brown-20452294/,Hemnes Bookcase Black Brown Light Brown,229.0,4.1,1304,2417
https://www.ikea.com/us/en/cat/bookcases-10382/,https://www.ikea.com/us/en/p/hemnes-bookcase-white-stain-90371765/,Hemnes Bookcase White Stain,189.0,4.1,1304,2416
https://www.ikea.com/us/en/cat/bookcases-10382/,https://www.ikea.com/us/en/p/hemnes-bookcase-white-stain-light-brown-60413502/,Hemnes Bookcase White Stain Light Brown,229.0,4.1,1304,2442
https://www.ikea.com/us/en/cat/bookcases-10382/,https://www.ikea.com/us/en/p/hemnes-bookcase-black-brown-20371764/,Hemnes Bookcase Black Brown,229.0,4.1,1304,2406
https://www.ikea.com/us/en/cat/bookcases-10382/,https://www.ikea.com/us/en/p/hemnes-bookcase-gray-green-light-brown-stained-40596159/,Hemnes Bookcase Gray Green Light Brown Stained,329.0,4.1,1304,2318
https://www.ikea.com/us/en/cat/bookcases-10382/,https://www.ikea.com/us/en/p/gersby-bookcase-white-70261131/,Gersby Bookcase White,59.0,4.6,1585,1878
https://www.ikea.com/us/en/cat/bookcases-10382/,https://www.ikea.com/us/en/p/billy-bookcase-with-height-extension-unit-brown-walnut-effect-s09581891/,Billy Bookcase With Height Extension Unit Brown Walnut Effect S09581891,89.0,4.7,262,1192
https://www.ikea.com/us/en/cat/bookcases-10382/,https://www.ikea.com/us/en/p/billy-bookcase-white-s89581509/,Billy Bookcase White S89581509,74.0,4.7,262,1184
https://www.ikea.com/us/en/cat/bookcases-10382/,https://www.ikea.com/us/en/p/billy-bookcase-with-height-extension-unit-dark-brown-oak-effect-s99581882/,Billy Bookcase With Height Extension Unit Dark Brown Oak Effect S99581882,89.0,4.7,262,1208
https://www.ikea.com/us/en/cat/bookcases-10382/,https://www.ikea.com/us/en/p/billy-bookcase-with-height-extension-unit-oak-effect-s59581884/,Billy Bookcase With Height Extension Unit Oak Effect S59581884,89.0,4.7,262,1187
https://www.ikea.com/us/en/cat/bookcases-10382/,https://www.ikea.com/us/en/p/baggebo-bookcase-white-70481171/,Baggebo Bookcase White,24.99,4.6,95,1283
https://www.ikea.com/us/en/cat/bookcases-10382/,https://www.ikea.com/us/en/p/billy-bookcase-white-10522037/,Billy Bookcase White,39.0,4.7,904,1502
https://www.ikea.com/us/en/cat/bookcases-10382/,https://www.ikea.com/us/en/p/billy-bookcase-birch-effect-20495830/,Billy Bookcase Birch Effect,49.0,4.7,904,1993
https://www.ikea.com/us/en/cat/bookcases-10382/,https://www.ikea.com/us/en/p/billy-bookcase-brown-walnut-effect-10508625/,Billy Bookcase Brown Walnut Effect,49.0,4.7,904,1994
https://www.ikea.com/us/en/cat/bookcases-10382/,https://www.ikea.com/us/en/p/billy-bookcase-black-oak-effect-30477331/,Billy Bookcase Black Oak Effect,49.0,4.7,904,1994
https://www.ikea.com/us/en/cat/bookcases-10382/,https://www.ikea.com/us/en/p/billy-bookcase-oak-effect-20477379/,Billy Bookcase Oak Effect,49.0,4.7,904,1989
https://www.ikea.com/us/en/cat/bookcases-10382/,https://www.ikea.com/us/en/p/billy-bookcase-dark-brown-oak-effect-00492757/,Billy Bookcase Dark Brown Oak Effect,49.0,4.7,904,1993
https://www.ikea.com/us/en/cat/bookcases-10382/,https://www.ikea.com/us/en/p/laiva-bookcase-black-brown-40178591/,Laiva Bookcase Black Brown,39.99,4.5,1423,1741
https://www.ikea.com/us/en/cat/bookcases-10382/,https://www.ikea.com/us/en/p/billy-bookcase-white-s59581515/,Billy Bookcase White S59581515,292.0,4.6,139,1277
https://www.ikea.com/us/en/cat/bookcases-10382/,https://www.ikea.com/us/en/p/billy-bookcase-comb-w-extension-units-brown-walnut-effect-s29483535/,Billy Bookcase Comb W Extension Units Brown Walnut Effect S29483535,337.0,4.6,140,1636
https://www.ikea.com/us/en/cat/bookcases-10382/,https://www.ikea.com/us/en/p/billy-bookcase-comb-w-extension-units-black-oak-effect-s59483534/,Billy Bookcase Comb W Extension Units Black Oak Effect S59483534,337.0,4.6,139,1636
https://www.ikea.com/us/en/cat/bookcases-10382/,https://www.ikea.com/us/en/p/billy-bookcase-comb-w-extension-units-dark-brown-oak-effect-s09483536/,Billy Bookcase Comb W Extension Units Dark Brown Oak Effect S09483536,337.0,4.6,140,1625
https://www.ikea.com/us/en/cat/bookcases-10382/,https://www.ikea.com/us/en/p/billy-bookcase-comb-w-extension-units-oak-effect-s89483537/,Billy Bookcase Comb W Extension Units Oak Effect S89483537,337.0,4.6,139,1631
https://www.ikea.com/us/en/cat/tables-desks-fu004/,https://www.ikea.com/us/en/p/mittplan-desk-with-add-on-unit-white-30630776/,Mittplan Desk With Add On Unit White,249.99,0.0,0,733
https://www.ikea.com/us/en/cat/tables-desks-fu004/,https://www.ikea.com/us/en/p/centerhalv-office-chair-black-10601124/,Centerhalv Office Chair Black,199.99,5.0,2,1017
https://www.ikea.com/us/en/cat/tables-desks-fu004/,https://www.ikea.com/us/en/p/bollsidan-desk-sit-stand-electric-white-90609814/,Bollsidan Desk Sit Stand Electric White,299.99,3.5,19,1482
https://www.ikea.com/us/en/cat/tables-desks-fu004/,https://www.ikea.com/us/en/p/markus-office-chair-vissle-dark-gray-50588804/,Markus Office Chair Vissle Dark Gray,329.99,4.5,50,1536
https://www.ikea.com/us/en/cat/tables-desks-fu004/,https://www.ikea.com/us/en/p/trotten-desk-sit-stand-beige-white-s89434127/,Trotten Desk Sit Stand Beige White S89434127,249.99,4.6,505,2608
https://www.ikea.com/us/en/cat/tables-desks-fu004/,https://www.ikea.com/us/en/p/langfjaell-conference-chair-with-armrests-gunnared-beige-white-s89252768/,Langfjaell Conference Chair With Armrests Gunnared Beige White S89252768,279.99,4.3,166,1798
https://www.ikea.com/us/en/cat/tables-desks-fu004/,https://www.ikea.com/us/en/p/micke-desk-black-brown-60244745/,Micke Desk Black Brown,99.99,4.5,2186,1940
https://www.ikea.com/us/en/cat/tables-desks-fu004/,https://www.ikea.com/us/en/p/renberget-swivel-chair-bomstad-black-40611094/,Renberget Swivel Chair Bomstad Black,89.99,4.4,1142,1208
https://www.ikea.com/us/en/cat/tables-desks-fu004/,https://www.ikea.com/us/en/p/langfjaell-conference-chair-gunnared-dark-gray-white-s79252387/,Langfjaell Conference Chair Gunnared Dark Gray White S79252387,249.99,4.4,518,2123
https://www.ikea.com/us/en/cat/tables-desks-fu004/,https://www.ikea.com/us/en/p/groenfjaell-office-chair-with-armrests-letafors-gray-black-00503478/,Groenfjaell Office Chair With Armrests Letafors Gray Black,449.99,3.4,53,1302
https://www.ikea.com/us/en/cat/tables-desks-fu004/,https://www.ikea.com/us/en/p/laektare-conference-chair-medium-gray-black-s89503267/,Laektare Conference Chair Medium Gray Black S89503267,119.99,4.6,8,1535
https://www.ikea.com/us/en/cat/tables-desks-fu004/,https://www.ikea.com/us/en/p/groenfjaell-office-chair-with-arm-headrest-letafors-gray-black-s69513917/,Groenfjaell Office Chair With Arm Headrest Letafors Gray Black S69513917,529.99,3.8,53,1582
https://www.ikea.com/us/en/cat/sofas-fu003/,https://www.ikea.com/us/en/p/glostad-sofa-knisa-dark-gray-40595942/,Glostad Sofa Knisa Dark Gray,199.0,3.9,62,1984
https://www.ikea.com/us/en/cat/sofas-fu003/,https://www.ikea.com/us/en/p/glostad-sofa-with-chaise-knisa-dark-gray-s69578602/,Glostad Sofa With Chaise Knisa Dark Gray S69578602,249.0,3.5,32,1157
https://www.ikea.com/us/en/cat/sofas-fu003/,https://www.ikea.com/us/en/p/stockholm-2025-sofa-sundhamn-beige-00586096/,Stockholm 2025 Sofa Sundhamn Beige,1799.0,4.4,83,1948
https://www.ikea.com/us/en/cat/sofas-fu003/,https://www.ikea.com/us/en/p/uppland-sofa-hakebo-dark-gray-s59442478/,Uppland Sofa Hakebo Dark Gray S59442478,849.0,3.7,186,2386
https://www.ikea.com/us/en/cat/sofas-fu003/,https://www.ikea.com/us/en/p/uppland-sofa-blekinge-white-s19384116/,Uppland Sofa Blekinge White S19384116,899.0,3.7,186,2516
https://www.ikea.com/us/en/cat/sofas-fu003/,https://www.ikea.com/us/en/p/uppland-sofa-kilanda-light-beige-s39442484/,Uppland Sofa Kilanda Light Beige S39442484,899.0,3.7,186,2400
https://www.ikea.com/us/en/cat/sofas-fu003/,https://www.ikea.com/us/en/p/uppland-sofa-kelinge-beige-s79499968/,Uppland Sofa Kelinge Beige S79499968,949.0,3.7,186,2384
https://www.ikea.com/us/en/cat/sofas-fu003/,https://www.ikea.com/us/en/p/uppland-sofa-hakebo-gray-green-s19442480/,Uppland Sofa Hakebo Gray Green S19442480,849.0,3.7,186,2383
https://www.ikea.com/us/en/cat/sofas-fu003/,https://www.ikea.com/us/en/p/uppland-sofa-kilanda-dark-blue-s79442482/,Uppland Sofa Kilanda Dark Blue S79442482,899.0,3.7,186,2400
https://www.ikea.com/us/en/cat/sofas-fu003/,https://www.ikea.com/us/en/p/uppland-sofa-kelinge-rust-s39499970/,Uppland Sofa Kelinge Rust S39499970,949.0,3.7,186,2384
https://www.ikea.com/us/en/cat/sofas-fu003/,https://www.ikea.com/us/en/p/klippan-loveseat-tingetorp-yellow-white-floral-pattern-s69589993/,Klippan Loveseat Tingetorp Yellow White Floral Pattern S69589993,329.0,4.0,268,1917
https://www.ikea.com/us/en/cat/sofas-fu003/,https://www.ikea.com/us/en/p/klippan-loveseat-vissle-gray-s09010617/,Klippan Loveseat Vissle Gray S09010617,299.0,4.0,268,2018
https://www.ikea.com/us/en/cat/sofas-fu003/,https://www.ikea.com/us/en/p/klippan-loveseat-vissle-green-s09561666/,Klippan Loveseat Vissle Green S09561666,299.0,4.0,268,2036
https://www.ikea.com/us/en/cat/sofas-fu003/,https://www.ikea.com/us/en/p/klippan-loveseat-langban-bright-yellow-s39564277/,Klippan Loveseat Langban Bright Yellow S39564277,349.0,4.0,268,2202
https://www.ikea.com/us/en/cat/sofas-fu003/,https://www.ikea.com/us/en/p/kivik-sectional-4-seat-with-chaise-tibbleby-beige-gray-s89440581/,Kivik Sectional 4 Seat With Chaise Tibbleby Beige Gray S89440581,1249.0,3.9,148,2976
https://www.ikea.com/us/en/cat/sofas-fu003/,https://www.ikea.com/us/en/p/kivik-sectional-4-seat-with-chaise-tresund-anthracite-s69494382/,Kivik Sectional 4 Seat With Chaise Tresund Anthracite S69494382,1399.0,3.9,148,2971
https://www.ikea.com/us/en/cat/sofas-fu003/,https://www.ikea.com/us/en/p/kivik-sectional-4-seat-with-chaise-tresund-light-beige-s79494391/,Kivik Sectional 4 Seat With Chaise Tresund Light Beige S79494391,1399.0,3.9,148,2981
https://www.ikea.com/us/en/cat/sofas-fu003/,https://www.ikea.com/us/en/p/kivik-sectional-4-seat-with-chaise-kelinge-gray-turquoise-s49443063/,Kivik Sectional 4 Seat With Chaise Kelinge Gray Turquoise S49443063,1299.0,3.9,148,2981
https://www.ikea.com/us/en/cat/sofas-fu003/,https://www.ikea.com/us/en/p/kivik-sectional-4-seat-with-chaise-gunnared-beige-s59499714/,Kivik Sectional 4 Seat With Chaise Gunnared Beige S59499714,1399.0,3.9,148,3023
https://www.ikea.com/us/en/cat/sofas-fu003/,https://www.ikea.com/us/en/p/kivik-sectional-4-seat-with-chaise-gunnared-blue-s29499715/,Kivik Sectional 4 Seat With Chaise Gunnared Blue S29499715,1399.0,3.9,148,3016
https://www.ikea.com/us/en/cat/sofas-fu003/,https://www.ikea.com/us/en/p/kivik-sectional-4-seat-with-chaise-tallmyra-dark-green-s09499721/,Kivik Sectional 4 Seat With Chaise Tallmyra Dark Green S09499721,1499.0,3.9,148,3014
https://www.ikea.com/us/en/cat/sofas-fu003/,https://www.ikea.com/us/en/p/finnala-sofa-gunnared-beige-s19319060/,Finnala Sofa Gunnared Beige S19319060,1019.0,3.8,41,2757
https://www.ikea.com/us/en/cat/sofas-fu003/,https://www.ikea.com/us/en/p/finnala-sofa-tallmyra-black-gray-s49319068/,Finnala Sofa Tallmyra Black Gray S49319068,999.0,3.8,41,2853
https://www.ikea.com/us/en/cat/sofas-fu003/,https://www.ikea.com/us/en/p/finnala-sofa-gunnared-medium-gray-s79319062/,Finnala Sofa Gunnared Medium Gray S79319062,1019.0,3.8,41,2766
https://www.ikea.com/us/en/cat/sofas-fu003/,https://www.ikea.com/us/en/p/kivik-sofa-tresund-light-beige-s19482838/,Kivik Sofa Tresund Light Beige S19482838,899.0,4.1,507,3031
https://www.ikea.com/us/en/cat/sofas-fu003/,https://www.ikea.com/us/en/p/kivik-sofa-tibbleby-beige-gray-s39440593/,Kivik Sofa Tibbleby Beige Gray S39440593,799.0,4.1,507,3002
https://www.ikea.com/us/en/cat/sofas-fu003/,https://www.ikea.com/us/en/p/kivik-sofa-kelinge-gray-turquoise-s59443053/,Kivik Sofa Kelinge Gray Turquoise S59443053,849.0,4.1,507,3001
https://www.ikea.com/us/en/cat/sofas-fu003/,https://www.ikea.com/us/en/p/kivik-sofa-gunnared-beige-s89499703/,Kivik Sofa Gunnared Beige S89499703,899.0,4.1,507,3049
https://www.ikea.com/us/en/cat/sofas-fu003/,https://www.ikea.com/us/en/p/kivik-sofa-tresund-anthracite-s39482837/,Kivik Sofa Tresund Anthracite S39482837,899.0,4.1,507,3003
https://www.ikea.com/us/en/cat/sofas-fu003/,https://www.ikea.com/us/en/p/kivik-sofa-tallmyra-dark-green-s39499710/,Kivik Sofa Tallmyra Dark Green S39499710,949.0,4.1,507,3043
https://www.ikea.com/us/en/cat/sofas-fu003/,https://www.ikea.com/us/en/p/kivik-sofa-gunnared-blue-s69499704/,Kivik Sofa Gunnared Blue S69499704,899.0,4.1,507,3049
https://www.ikea.com/us/en/cat/sofas-fu003/,https://www.ikea.com/us/en/p/hyltarp-sofa-gransel-natural-s69489639/,Hyltarp Sofa Gransel Natural S69489639,1199.0,4.2,132,3148
https://www.ikea.com/us/en/cat/sofas-fu003/,https://www.ikea.com/us/en/p/hyltarp-sofa-hallarp-white-s39489645/,Hyltarp Sofa Hallarp White S39489645,1149.0,4.2,132,3124
https://www.ikea.com/us/en/cat/sofas-fu003/,https://www.ikea.com/us/en/p/hyltarp-sofa-hemmesta-light-beige-s59514941/,Hyltarp Sofa Hemmesta Light Beige S59514941,1249.0,4.2,132,3131
https://www.ikea.com/us/en/cat/sofas-fu003/,https://www.ikea.com/us/en/p/hyltarp-sofa-tallmyra-dark-green-s29514952/,Hyltarp Sofa Tallmyra Dark Green S29514952,1249.0,4.2,132,3131
https://www.ikea.com/us/en/cat/sofas-fu003/,https://www.ikea.com/us/en/p/hyltarp-sofa-tallmyra-blue-s49514946/,Hyltarp Sofa Tallmyra Blue S49514946,1249.0,4.2,132,3128
https://www.ikea.com/us/en/cat/sofas-fu003/,https://www.ikea.com/us/en/p/hyltarp-sofa-kilanda-pale-blue-s19489651/,Hyltarp Sofa Kilanda Pale Blue S19489651,1149.0,4.2,132,3135
https://www.ikea.com/us/en/cat/sofas-fu003/,https://www.ikea.com/us/en/p/hyltarp-sofa-gransel-gray-s89514930/,Hyltarp Sofa Gransel Gray S89514930,1199.0,4.2,132,3149
https://www.ikea.com/us/en/cat/sofas-fu003/,https://www.ikea.com/us/en/p/kivik-sofa-grann-bomstad-black-80519531/,Kivik Sofa Grann Bomstad Black,1299.0,4.3,61,2159
https://www.ikea.com/us/en/cat/sofas-fu003/,https://www.ikea.com/us/en/p/saltsjoebaden-3-seat-sofa-tonerud-gray-s89579196/,Saltsjoebaden 3 Seat Sofa Tonerud Gray S89579196,549.0,4.6,22,1925
https://www.ikea.com/us/en/cat/sofas-fu003/,https://www.ikea.com/us/en/p/saltsjoebaden-3-seat-sofa-tonerud-gray-s29627529/,Saltsjoebaden 3 Seat Sofa Tonerud Gray S29627529,549.0,4.6,22,2030
https://www.ikea.com/us/en/cat/sofas-fu003/,https://www.ikea.com/us/en/p/saltsjoebaden-3-seat-sofa-blekinge-white-s79579192/,Saltsjoebaden 3 Seat Sofa Blekinge White S79579192,499.0,4.6,22,1938
https://www.ikea.com/us/en/cat/sofas-fu003/,https://www.ikea.com/us/en/p/saltsjoebaden-3-seat-sofa-fridtuna-light-beige-s59599935/,Saltsjoebaden 3 Seat Sofa Fridtuna Light Beige S59599935,599.0,4.6,22,1962
https://www.ikea.com/us/en/cat/sofas-fu003/,https://www.ikea.com/us/en/p/saltsjoebaden-3-seat-sofa-tonerud-gray-s19622565/,Saltsjoebaden 3 Seat Sofa Tonerud Gray S19622565,549.0,4.7,23,1934
https://www.ikea.com/us/en/cat/sofas-fu003/,https://www.ikea.com/us/en/p/saltsjoebaden-3-seat-sofa-tonerud-red-brown-s49627533/,Saltsjoebaden 3 Seat Sofa Tonerud Red Brown S49627533,549.0,4.7,23,1960
https://www.ikea.com/us/en/cat/sofas-fu003/,https://www.ikea.com/us/en/p/saltsjoebaden-3-seat-sofa-fridtuna-light-beige-s49627509/,Saltsjoebaden 3 Seat Sofa Fridtuna Light Beige S49627509,599.0,4.7,23,2012
